ts,open,high,low,close,volume,hi24,signal,unrealized,equity,position
2025-09-24 10:30:00+00:00,112669.23,112831.82,112668.51,112809.06,90.36696,,0,0.0,1000.0,0
2025-09-24 10:45:00+00:00,112809.07,112960.0,112803.23,112941.98,116.64945,,0,0.0,1000.0,0
2025-09-24 11:00:00+00:00,112941.99,113162.17,112930.88,113086.83,203.99147,,0,0.0,1000.0,0
2025-09-24 11:15:00+00:00,113086.84,113141.61,113013.32,113041.57,140.84048,,0,0.0,1000.0,0
2025-09-24 11:30:00+00:00,113041.56,113077.33,112877.3,113037.0,114.22646,,0,0.0,1000.0,0
2025-09-24 11:45:00+00:00,113037.0,113049.53,112900.0,113029.46,89.15301,,0,0.0,1000.0,0
2025-09-24 12:00:00+00:00,113029.45,113039.0,112945.96,113034.56,84.06664,,0,0.0,1000.0,0
2025-09-24 12:15:00+00:00,113034.56,113050.0,112944.0,113019.86,75.16536,,0,0.0,1000.0,0
2025-09-24 12:30:00+00:00,113019.86,113085.6,113019.75,113080.0,55.20283,,0,0.0,1000.0,0
2025-09-24 12:45:00+00:00,113080.0,113097.99,113009.75,113070.69,58.34254,,0,0.0,1000.0,0
2025-09-24 13:00:00+00:00,113070.69,113096.79,112974.77,113011.03,57.80627,,0,0.0,1000.0,0
2025-09-24 13:15:00+00:00,113011.03,113150.0,113011.02,113056.26,117.16076,,0,0.0,1000.0,0
2025-09-24 13:30:00+00:00,113056.26,113222.69,112921.26,113104.49,228.89909,,0,0.0,1000.0,0
2025-09-24 13:45:00+00:00,113104.49,113131.08,112808.0,112823.62,174.47347,,0,0.0,1000.0,0
2025-09-24 14:00:00+00:00,112823.62,113176.0,112823.61,113149.82,124.01976,,0,0.0,1000.0,0
2025-09-24 14:15:00+00:00,113149.82,113172.98,113018.06,113149.17,186.71664,,0,0.0,1000.0,0
2025-09-24 14:30:00+00:00,113149.17,113384.6,113115.67,113382.5,271.42623,,0,0.0,1000.0,0
2025-09-24 14:45:00+00:00,113382.5,113890.0,113317.26,113720.64,384.02671,,0,0.0,1000.0,0
2025-09-24 15:00:00+00:00,113720.64,113883.68,113467.96,113484.51,221.25694,,0,0.0,1000.0,0
2025-09-24 15:15:00+00:00,113484.51,113712.05,113484.5,113650.15,123.02463,,0,0.0,1000.0,0
2025-09-24 15:30:00+00:00,113650.15,113708.15,113564.17,113708.15,193.313,,0,0.0,1000.0,0
2025-09-24 15:45:00+00:00,113708.14,113708.15,113257.01,113346.41,180.1498,,0,0.0,1000.0,0
2025-09-24 16:00:00+00:00,113346.4,113426.51,113163.21,113283.87,169.88495,,0,0.0,1000.0,0
2025-09-24 16:15:00+00:00,113283.88,113585.7,113283.87,113568.94,91.82087,,0,0.0,1000.0,0
2025-09-24 16:30:00+00:00,113568.95,113719.79,113520.0,113676.82,66.59944,113890.0,0,0.0,1000.0,0
2025-09-24 16:45:00+00:00,113676.83,113753.0,113632.15,113732.01,119.37427,113890.0,0,0.0,1000.0,0
2025-09-24 17:00:00+00:00,113732.01,113911.95,113616.0,113860.02,89.77178,113890.0,0,0.0,1000.0,0
2025-09-24 17:15:00+00:00,113860.03,113860.03,113694.35,113771.11,64.20307,113911.95,0,0.0,1000.0,0
2025-09-24 17:30:00+00:00,113771.11,113940.0,113771.1,113849.96,109.07184,113911.95,0,0.0,1000.0,0
2025-09-24 17:45:00+00:00,113849.96,113849.97,113670.83,113761.3,98.84244,113940.0,0,0.0,1000.0,0
2025-09-24 18:00:00+00:00,113761.31,113830.66,113571.78,113623.89,55.67548,113940.0,0,0.0,1000.0,0
2025-09-24 18:15:00+00:00,113623.89,113688.2,113524.2,113688.2,57.37783,113940.0,0,0.0,1000.0,0
2025-09-24 18:30:00+00:00,113688.2,113722.3,113591.64,113650.25,38.06949,113940.0,0,0.0,1000.0,0
2025-09-24 18:45:00+00:00,113650.25,113674.99,113512.53,113639.8,51.49169,113940.0,0,0.0,1000.0,0
2025-09-24 19:00:00+00:00,113639.8,113682.46,113558.64,113602.08,45.96587,113940.0,0,0.0,1000.0,0
2025-09-24 19:15:00+00:00,113602.07,113626.45,113485.91,113497.95,70.70957,113940.0,0,0.0,1000.0,0
2025-09-24 19:30:00+00:00,113497.95,113507.45,113306.76,113336.25,95.67395,113940.0,0,0.0,1000.0,0
2025-09-24 19:45:00+00:00,113336.24,113499.39,113292.25,113420.01,94.16331,113940.0,0,0.0,1000.0,0
2025-09-24 20:00:00+00:00,113420.0,113548.61,113401.99,113530.78,63.6958,113940.0,0,0.0,1000.0,0
2025-09-24 20:15:00+00:00,113530.78,113600.0,113506.98,113551.19,55.60134,113940.0,0,0.0,1000.0,0
2025-09-24 20:30:00+00:00,113551.19,113554.75,113438.4,113540.47,49.98962,113940.0,0,0.0,1000.0,0
2025-09-24 20:45:00+00:00,113540.48,113609.25,113498.14,113501.52,64.09233,113940.0,0,0.0,1000.0,0
2025-09-24 21:00:00+00:00,113501.52,113584.02,113473.76,113584.01,60.78446,113940.0,0,0.0,1000.0,0
2025-09-24 21:15:00+00:00,113584.01,113584.01,113520.0,113578.09,25.82378,113940.0,0,0.0,1000.0,0
2025-09-24 21:30:00+00:00,113578.08,113578.09,113338.95,113345.62,76.6475,113940.0,0,0.0,1000.0,0
2025-09-24 21:45:00+00:00,113345.62,113540.4,113283.99,113339.63,111.18879,113940.0,0,0.0,1000.0,0
2025-09-24 22:00:00+00:00,113339.63,113647.58,113339.63,113639.01,116.90683,113940.0,0,0.0,1000.0,0
2025-09-24 22:15:00+00:00,113639.02,113639.02,113467.48,113485.01,32.77545,113940.0,0,0.0,1000.0,0
2025-09-24 22:30:00+00:00,113485.01,113511.84,113368.23,113368.23,48.52236,113940.0,0,0.0,1000.0,0
2025-09-24 22:45:00+00:00,113368.23,113368.23,113250.59,113336.33,70.3697,113940.0,0,0.0,1000.0,0
2025-09-24 23:00:00+00:00,113336.34,113412.38,113336.33,113358.56,74.42605,113940.0,0,0.0,1000.0,0
2025-09-24 23:15:00+00:00,113358.56,113429.12,113217.09,113347.2,143.91386,113940.0,0,0.0,1000.0,0
2025-09-24 23:30:00+00:00,113347.21,113347.21,113208.0,113218.84,94.40142,113940.0,0,0.0,1000.0,0
2025-09-24 23:45:00+00:00,113218.83,113336.0,113204.71,113307.0,104.92219,113849.97,0,0.0,1000.0,0
2025-09-25 00:00:00+00:00,113307.01,113510.23,113272.58,113480.0,95.54854,113830.66,0,0.0,1000.0,0
