ts,open,high,low,close,volume,hi24,signal,unrealized,equity,position
2025-09-17 20:00:00+00:00,115652.02,116140.2,115496.68,115621.47,455.26463,,0,0.0,999.9471250651106,0
2025-09-17 21:00:00+00:00,115621.47,116120.0,115307.33,116038.39,336.05085,,0,0.0,999.9471250651106,0
2025-09-17 22:00:00+00:00,116038.39,116823.72,116038.39,116559.69,741.17447,,0,0.0,999.9471250651106,0
2025-09-17 23:00:00+00:00,116559.68,116990.68,116340.07,116447.59,836.73837,,0,0.0,999.9471250651106,0
2025-09-18 00:00:00+00:00,116447.6,116470.52,116092.76,116350.65,442.99009,,0,0.0,999.9471250651106,0
2025-09-18 01:00:00+00:00,116350.65,116869.46,116340.0,116634.84,440.77649,,0,0.0,999.9471250651106,0
2025-09-18 02:00:00+00:00,116634.84,116959.96,116429.55,116950.47,318.2136,,0,0.0,999.9471250651106,0
2025-09-18 03:00:00+00:00,116950.46,117896.0,116896.93,117581.66,1879.7006,,0,0.0,999.9471250651106,0
2025-09-18 04:00:00+00:00,117581.67,117750.0,117219.5,117605.16,612.3817,,0,0.0,999.9471250651106,0
2025-09-18 05:00:00+00:00,117605.16,117605.16,117176.1,117273.36,340.19852,,0,0.0,999.9471250651106,0
2025-09-18 06:00:00+00:00,117273.37,117338.05,116888.02,117102.43,474.42047,,0,0.0,999.9471250651106,0
2025-09-18 07:00:00+00:00,117102.43,117208.0,117048.81,117086.01,362.6272,,0,0.0,999.9471250651106,0
2025-09-18 08:00:00+00:00,117086.01,117413.04,117010.59,117229.59,383.66591,,0,0.0,999.9471250651106,0
2025-09-18 09:00:00+00:00,117229.58,117350.0,117107.57,117298.81,260.44715,,0,0.0,999.9471250651106,0
2025-09-18 10:00:00+00:00,117298.82,117307.5,117078.72,117190.47,236.63641,,0,0.0,999.9471250651106,0
2025-09-18 11:00:00+00:00,117190.48,117300.0,117013.77,117063.4,285.00282,,0,0.0,999.9471250651106,0
2025-09-18 12:00:00+00:00,117063.41,117279.0,116977.59,117124.69,249.62123,,0,0.0,999.9471250651106,0
2025-09-18 13:00:00+00:00,117124.69,117655.55,117004.28,117432.04,647.0176,,0,0.0,999.9471250651106,0
2025-09-18 14:00:00+00:00,117432.04,117843.83,117400.54,117640.54,711.59459,,0,0.0,999.9471250651106,0
2025-09-18 15:00:00+00:00,117640.54,117705.51,117322.41,117583.56,808.09852,,0,0.0,999.9471250651106,0
2025-09-18 16:00:00+00:00,117583.56,117789.0,117500.01,117565.6,483.30991,,0,0.0,999.9471250651106,0
2025-09-18 17:00:00+00:00,117565.59,117765.59,117418.45,117579.93,479.43176,,0,0.0,999.9471250651106,0
2025-09-18 18:00:00+00:00,117579.94,117900.0,117512.11,117822.97,474.53821,,0,0.0,999.9471250651106,0
2025-09-18 19:00:00+00:00,117822.98,117822.98,117196.33,117450.21,391.34362,,0,0.0,999.9471250651106,0
2025-09-18 20:00:00+00:00,117450.21,117657.17,117337.95,117521.14,192.47211,117900.0,0,0.0,999.9471250651106,0
2025-09-18 21:00:00+00:00,117521.14,117521.14,117299.21,117299.21,187.11636,117900.0,0,0.0,999.9471250651106,0
2025-09-18 22:00:00+00:00,117299.21,117334.8,117027.34,117061.02,345.51742,117900.0,0,0.0,999.9471250651106,0
2025-09-18 23:00:00+00:00,117061.02,117172.21,116612.03,117073.53,650.11136,117900.0,0,0.0,999.9471250651106,0
2025-09-19 00:00:00+00:00,117073.53,117427.7,117020.0,117424.2,328.86734,117900.0,0,0.0,999.9471250651106,0
2025-09-19 01:00:00+00:00,117424.21,117459.99,117118.21,117241.32,268.6749,117900.0,0,0.0,999.9471250651106,0
2025-09-19 02:00:00+00:00,117241.32,117285.99,117044.13,117112.8,395.51641,117900.0,0,0.0,999.9471250651106,0
2025-09-19 03:00:00+00:00,117112.81,117291.01,116871.61,116977.58,333.32919,117900.0,0,0.0,999.9471250651106,0
2025-09-19 04:00:00+00:00,116977.58,117100.0,116700.02,116990.65,377.41298,117900.0,0,0.0,999.9471250651106,0
2025-09-19 05:00:00+00:00,116990.65,117010.0,116780.75,116894.83,306.31482,117900.0,0,0.0,999.9471250651106,0
2025-09-19 06:00:00+00:00,116894.83,116894.83,116633.86,116669.75,430.54942,117900.0,0,0.0,999.9471250651106,0
2025-09-19 07:00:00+00:00,116669.76,116992.81,116665.0,116909.97,423.81384,117900.0,0,0.0,999.9471250651106,0
2025-09-19 08:00:00+00:00,116909.98,117090.36,116882.47,116915.88,283.85786,117900.0,0,0.0,999.9471250651106,0
2025-09-19 09:00:00+00:00,116915.88,116979.86,116488.0,116488.0,361.47256,117900.0,0,0.0,999.9471250651106,0
2025-09-19 10:00:00+00:00,116488.0,116551.54,116434.23,116532.68,289.26548,117900.0,0,0.0,999.9471250651106,0
2025-09-19 11:00:00+00:00,116532.68,116554.05,116300.0,116394.72,309.23241,117900.0,0,0.0,999.9471250651106,0
2025-09-19 12:00:00+00:00,116394.72,116529.08,116133.66,116162.45,488.73837,117900.0,0,0.0,999.9471250651106,0
2025-09-19 13:00:00+00:00,116162.45,116465.35,116075.0,116284.64,435.12378,117900.0,0,0.0,999.9471250651106,0
2025-09-19 14:00:00+00:00,116284.63,116479.11,115800.0,115899.99,846.39402,117900.0,0,0.0,999.9471250651106,0
2025-09-19 15:00:00+00:00,115899.99,115952.95,115464.19,115884.03,887.61948,117900.0,0,0.0,999.9471250651106,0
2025-09-19 16:00:00+00:00,115884.03,116136.0,115800.0,116088.68,355.37234,117900.0,0,0.0,999.9471250651106,0
2025-09-19 17:00:00+00:00,116088.68,116093.18,115538.67,115542.73,360.56628,117900.0,0,0.0,999.9471250651106,0
2025-09-19 18:00:00+00:00,115542.73,115644.73,115382.98,115407.49,388.78402,117900.0,0,0.0,999.9471250651106,0
2025-09-19 19:00:00+00:00,115407.49,115479.45,115112.58,115125.12,308.93231,117822.98,0,0.0,999.9471250651106,0
2025-09-19 20:00:00+00:00,115125.13,115445.23,115100.0,115342.57,338.84816,117657.17,0,0.0,999.9471250651106,0
